Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11514046,108182FE,true,Tx,0,8,09,75,00,00,00,00,00,00,
11515376,1081827E,true,Rx,0,8,2E,73,00,00,00,00,00,00,
11515254,108182FE,true,Tx,0,8,0A,75,00,00,00,00,00,00,
11516355,108182FE,true,Tx,0,8,0B,75,00,00,00,00,00,00,
11517730,1081827E,true,Rx,0,8,2F,73,00,00,00,00,00,00,
11517502,108182FE,true,Tx,0,8,0C,75,00,00,00,00,00,00,
11518602,108182FE,true,Tx,0,8,0D,75,00,00,00,00,00,00,
11520061,1081827E,true,Rx,0,8,20,74,00,00,00,00,00,00,
11519752,108182FE,true,Tx,0,8,0E,75,00,00,00,00,00,00,
11520952,108182FE,true,Tx,0,8,0F,75,00,00,00,00,00,00,
11522423,1081827E,true,Rx,0,8,01,74,00,00,00,00,00,00,
11523286,108182FE,true,Tx,0,8,00,76,00,00,00,00,00,00,
11524759,1081827E,true,Rx,0,8,22,74,00,00,00,00,00,00,
11524740,108182FE,true,Tx,0,8,01,76,00,00,00,00,00,00,
11526042,108182FE,true,Tx,0,8,02,76,00,00,00,00,00,00,
11527067,1081827E,true,Rx,0,8,23,74,00,00,00,00,00,00,
11527409,108182FE,true,Tx,0,8,03,76,00,00,00,00,00,00,
11528561,108182FE,true,Tx,0,8,04,76,00,00,00,00,00,00,
11529401,1081827E,true,Rx,0,8,24,74,00,00,00,00,00,00,
11529852,108182FE,true,Tx,0,8,05,76,00,00,00,00,00,00,
11531018,108182FE,true,Tx,0,8,06,76,00,00,00,00,00,00,
11531717,1081827E,true,Rx,0,8,25,74,00,00,00,00,00,00,
11532193,108182FE,true,Tx,0,8,07,76,00,00,00,00,00,00,
11533340,108182FE,true,Tx,0,8,08,76,00,00,00,00,00,00,
11534048,1081827E,true,Rx,0,8,26,74,00,00,00,00,00,00,
11534493,108182FE,true,Tx,0,8,09,76,00,00,00,00,00,00,
11535583,108182FE,true,Tx,0,8,0A,76,00,00,00,00,00,00,
11536362,1081827E,true,Rx,0,8,27,74,00,00,00,00,00,00,
11536760,108182FE,true,Tx,0,8,0B,76,00,00,00,00,00,00,
11537849,108182FE,true,Tx,0,8,0C,76,00,00,00,00,00,00,
11538726,1081827E,true,Rx,0,8,28,74,00,00,00,00,00,00,
11539364,108182FE,true,Tx,0,8,0D,76,00,00,00,00,00,00,
11541036,1081827E,true,Rx,0,8,29,74,00,00,00,00,00,00,
11540893,108182FE,true,Tx,0,8,0E,76,00,00,00,00,00,00,
11542084,108182FE,true,Tx,0,8,0F,76,00,00,00,00,00,00,
11543344,1081827E,true,Rx,0,8,2A,74,00,00,00,00,00,00,
11543268,108182FE,true,Tx,0,8,00,77,00,00,00,00,00,00,
11544431,108182FE,true,Tx,0,8,01,77,00,00,00,00,00,00,
11545714,1081827E,true,Rx,0,8,2B,74,00,00,00,00,00,00,
11545614,108182FE,true,Tx,0,8,02,77,00,00,00,00,00,00,
11546747,108182FE,true,Tx,0,8,03,77,00,00,00,00,00,00,
11548014,1081827E,true,Rx,0,8,2C,74,00,00,00,00,00,00,
11547883,108182FE,true,Tx,0,8,04,77,00,00,00,00,00,00,
11549031,108182FE,true,Tx,0,8,05,77,00,00,00,00,00,00,
11550322,1081827E,true,Rx,0,8,2D,74,00,00,00,00,00,00,
11550186,108182FE,true,Tx,0,8,06,77,00,00,00,00,00,00,
11551321,108182FE,true,Tx,0,8,07,77,00,00,00,00,00,00,
11552719,1081827E,true,Rx,0,8,2E,74,00,00,00,00,00,00,
11552466,108182FE,true,Tx,0,8,08,77,00,00,00,00,00,00,
11553565,108182FE,true,Tx,0,8,09,77,00,00,00,00,00,00,
