Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2353584,108182FE,true,Tx,0,8,07,8C,00,00,00,00,00,00,
2354719,1081827E,true,Rx,0,8,25,8A,00,00,00,00,00,00,
2354725,108182FE,true,Tx,0,8,08,8C,00,00,00,00,00,00,
2355836,108182FE,true,Tx,0,8,09,8C,00,00,00,00,00,00,
2357058,1081827E,true,Rx,0,8,26,8A,00,00,00,00,00,00,
2357010,108182FE,true,Tx,0,8,0A,8C,00,00,00,00,00,00,
2358231,108182FE,true,Tx,0,8,0B,8C,00,00,00,00,00,00,
2359424,1081827E,true,Rx,0,8,27,8A,00,00,00,00,00,00,
2359904,108182FE,true,Tx,0,8,0C,8C,00,00,00,00,00,00,
2361681,1081827E,true,Rx,0,8,28,8A,00,00,00,00,00,00,
2361358,108182FE,true,Tx,0,8,0D,8C,00,00,00,00,00,00,
2362687,108182FE,true,Tx,0,8,0E,8C,00,00,00,00,00,00,
2363968,1081827E,true,Rx,0,8,29,8A,00,00,00,00,00,00,
2363907,108182FE,true,Tx,0,8,0F,8C,00,00,00,00,00,00,
2365188,108182FE,true,Tx,0,8,00,8D,00,00,00,00,00,00,
2366280,1081827E,true,Rx,0,8,2A,8A,00,00,00,00,00,00,
2366851,108182FE,true,Tx,0,8,01,8D,00,00,00,00,00,00,
2368617,1081827E,true,Rx,0,8,2B,8A,00,00,00,00,00,00,
2368160,108182FE,true,Tx,0,8,02,8D,00,00,00,00,00,00,
2369630,108182FE,true,Tx,0,8,03,8D,00,00,00,00,00,00,
2370951,1081827E,true,Rx,0,8,2C,8A,00,00,00,00,00,00,
2371363,108182FE,true,Tx,0,8,04,8D,00,00,00,00,00,00,
2373271,1081827E,true,Rx,0,8,2D,8A,00,00,00,00,00,00,
2372785,108182FE,true,Tx,0,8,05,8D,00,00,00,00,00,00,
2374075,108182FE,true,Tx,0,8,06,8D,00,00,00,00,00,00,
2375605,1081827E,true,Rx,0,8,2E,8A,00,00,00,00,00,00,
2375481,108182FE,true,Tx,0,8,07,8D,00,00,00,00,00,00,
2377008,108182FE,true,Tx,0,8,08,8D,00,00,00,00,00,00,
2377913,1081827E,true,Rx,0,8,2F,8A,00,00,00,00,00,00,
2378271,108182FE,true,Tx,0,8,09,8D,00,00,00,00,00,00,
2379443,108182FE,true,Tx,0,8,0A,8D,00,00,00,00,00,00,
2380285,1081827E,true,Rx,0,8,20,8B,00,00,00,00,00,00,
2380654,108182FE,true,Tx,0,8,0B,8D,00,00,00,00,00,00,
2381873,108182FE,true,Tx,0,8,0C,8D,00,00,00,00,00,00,
2382619,1081827E,true,Rx,0,8,21,8B,00,00,00,00,00,00,
2383173,108182FE,true,Tx,0,8,0D,8D,00,00,00,00,00,00,
2384899,1081827E,true,Rx,0,8,22,8B,00,00,00,00,00,00,
2384682,108182FE,true,Tx,0,8,0E,8D,00,00,00,00,00,00,
2386012,108182FE,true,Tx,0,8,0F,8D,00,00,00,00,00,00,
2387204,1081827E,true,Rx,0,8,23,8B,00,00,00,00,00,00,
2387220,108182FE,true,Tx,0,8,00,8E,00,00,00,00,00,00,
2388463,108182FE,true,Tx,0,8,01,8E,00,00,00,00,00,00,
2389494,1081827E,true,Rx,0,8,24,8B,00,00,00,00,00,00,
2389733,108182FE,true,Tx,0,8,02,8E,00,00,00,00,00,00,
2390981,108182FE,true,Tx,0,8,03,8E,00,00,00,00,00,00,
2391872,1081827E,true,Rx,0,8,25,8B,00,00,00,00,00,00,
2392202,108182FE,true,Tx,0,8,04,8E,00,00,00,00,00,00,
2394154,1081827E,true,Rx,0,8,26,8B,00,00,00,00,00,00,
2393854,108182FE,true,Tx,0,8,05,8E,00,00,00,00,00,00,
2395265,108182FE,true,Tx,0,8,06,8E,00,00,00,00,00,00,
2396438,1081827E,true,Rx,0,8,27,8B,00,00,00,00,00,00,
2396635,108182FE,true,Tx,0,8,07,8E,00,00,00,00,00,00,
2397898,108182FE,true,Tx,0,8,08,8E,00,00,00,00,00,00,
2398785,1081827E,true,Rx,0,8,28,8B,00,00,00,00,00,00,
2399150,108182FE,true,Tx,0,8,09,8E,00,00,00,00,00,00,
2400311,108182FE,true,Tx,0,8,0A,8E,00,00,00,00,00,00,
2401051,1081827E,true,Rx,0,8,29,8B,00,00,00,00,00,00,
2401471,108182FE,true,Tx,0,8,0B,8E,00,00,00,00,00,00,
2402599,108182FE,true,Tx,0,8,0C,8E,00,00,00,00,00,00,
2403435,1081827E,true,Rx,0,8,2A,8B,00,00,00,00,00,00,
2403717,108182FE,true,Tx,0,8,0D,8E,00,00,00,00,00,00,
2404831,108182FE,true,Tx,0,8,0E,8E,00,00,00,00,00,00,
2405725,1081827E,true,Rx,0,8,2B,8B,00,00,00,00,00,00,
2405985,108182FE,true,Tx,0,8,0F,8E,00,00,00,00,00,00,
2407125,108182FE,true,Tx,0,8,00,8F,00,00,00,00,00,00,
2408013,1081827E,true,Rx,0,8,2C,8B,00,00,00,00,00,00,
2408293,108182FE,true,Tx,0,8,01,8F,00,00,00,00,00,00,
2409409,108182FE,true,Tx,0,8,02,8F,00,00,00,00,00,00,
2410324,1081827E,true,Rx,0,8,2D,8B,00,00,00,00,00,00,
2410919,108182FE,true,Tx,0,8,03,8F,00,00,00,00,00,00,
2412648,1081827E,true,Rx,0,8,2E,8B,00,00,00,00,00,00,
2412362,108182FE,true,Tx,0,8,04,8F,00,00,00,00,00,00,
2413573,108182FE,true,Tx,0,8,05,8F,00,00,00,00,00,00,
2414996,1081827E,true,Rx,0,8,2F,8B,00,00,00,00,00,00,
2414759,108182FE,true,Tx,0,8,06,8F,00,00,00,00,00,00,
2416148,1081827E,true,Rx,0,8,20,8C,00,00,00,00,00,00,
2415885,108182FE,true,Tx,0,8,07,8F,00,00,00,00,00,00,
2417052,108182FE,true,Tx,0,8,08,8F,00,00,00,00,00,00,
2418316,108182FE,true,Tx,0,8,09,8F,00,00,00,00,00,00,
2419668,1081827E,true,Rx,0,8,21,8C,00,00,00,00,00,00,
2419446,108182FE,true,Tx,0,8,0A,8F,00,00,00,00,00,00,
2420608,108182FE,true,Tx,0,8,0B,8F,00,00,00,00,00,00,
2421975,1081827E,true,Rx,0,8,22,8C,00,00,00,00,00,00,
2421824,108182FE,true,Tx,0,8,0C,8F,00,00,00,00,00,00,
2422977,108182FE,true,Tx,0,8,0D,8F,00,00,00,00,00,00,
2424310,1081827E,true,Rx,0,8,23,8C,00,00,00,00,00,00,
2424250,108182FE,true,Tx,0,8,0E,8F,00,00,00,00,00,00,
2425421,108182FE,true,Tx,0,8,0F,8F,00,00,00,00,00,00,
2426633,1081827E,true,Rx,0,8,24,8C,00,00,00,00,00,00,
2426671,108182FE,true,Tx,0,8,00,90,00,00,00,00,00,00,
2427898,108182FE,true,Tx,0,8,01,90,00,00,00,00,00,00,
2428978,1081827E,true,Rx,0,8,25,8C,00,00,00,00,00,00,
2429038,108182FE,true,Tx,0,8,02,90,00,00,00,00,00,00,
2430192,108182FE,true,Tx,0,8,03,90,00,00,00,00,00,00,
2431292,1081827E,true,Rx,0,8,26,8C,00,00,00,00,00,00,
2431384,108182FE,true,Tx,0,8,04,90,00,00,00,00,00,00,
2432858,108182FE,true,Tx,0,8,05,90,00,00,00,00,00,00,
2433593,1081827E,true,Rx,0,8,27,8C,00,00,00,00,00,00,
2434118,108182FE,true,Tx,0,8,06,90,00,00,00,00,00,00,
2435268,108182FE,true,Tx,0,8,07,90,00,00,00,00,00,00,
2435906,1081827E,true,Rx,0,8,28,8C,00,00,00,00,00,00,
2436592,108182FE,true,Tx,0,8,08,90,00,00,00,00,00,00,
2438255,1081827E,true,Rx,0,8,29,8C,00,00,00,00,00,00,
2437736,108182FE,true,Tx,0,8,09,90,00,00,00,00,00,00,
2438956,108182FE,true,Tx,0,8,0A,90,00,00,00,00,00,00,
2440588,1081827E,true,Rx,0,8,2A,8C,00,00,00,00,00,00,
2440171,108182FE,true,Tx,0,8,0B,90,00,00,00,00,00,00,
2441358,108182FE,true,Tx,0,8,0C,90,00,00,00,00,00,00,
2442900,1081827E,true,Rx,0,8,2B,8C,00,00,00,00,00,00,
2442565,108182FE,true,Tx,0,8,0D,90,00,00,00,00,00,00,
2444097,108182FE,true,Tx,0,8,0E,90,00,00,00,00,00,00,
2445235,1081827E,true,Rx,0,8,2C,8C,00,00,00,00,00,00,
2445488,108182FE,true,Tx,0,8,0F,90,00,00,00,00,00,00,
2446770,108182FE,true,Tx,0,8,00,91,00,00,00,00,00,00,
2447611,1081827E,true,Rx,0,8,2D,8C,00,00,00,00,00,00,
2448006,108182FE,true,Tx,0,8,01,91,00,00,00,00,00,00,
2449313,108182FE,true,Tx,0,8,02,91,00,00,00,00,00,00,
2449903,1081827E,true,Rx,0,8,2E,8C,00,00,00,00,00,00,
2450456,108182FE,true,Tx,0,8,03,91,00,00,00,00,00,00,
2451657,108182FE,true,Tx,0,8,04,91,00,00,00,00,00,00,
2452255,1081827E,true,Rx,0,8,2F,8C,00,00,00,00,00,00,
2452859,108182FE,true,Tx,0,8,05,91,00,00,00,00,00,00,
